Id,Nm,AddrId,Addr1,Addr2,City,State,Country,PostalCd,ContactNumber,AttendanceKey,AttendanceDate,AttendedYesNo
332708,Ramkumar,99801,No-13 4rthcrossst,GandhiNagar,Bangalore,Karnataka,India,456009,7800912345,30001,2019-Dec-03,Yes
332709,Rajkumar,99802,No-14 5thcrossst,NehruNagar,Hyderabad,Telangana,India,556001,6800612345,30002,2019-Dec-03,Yes
332710,Priya,99803,No-15 6thcrossst,SardarNagar,Ahmedabad,Gujarat,India,356009,9800912345,30003,2019-Dec-03,Yes
332711,Renuka,99804,No-16 7thcrossst,PatelNagar,Bangalore,Karnataka,India,456009,5800912345,30004,2019-Dec-03,Yes
332712,Dileep,99805,No-17 8thcrossst,AnnaNagar,Chennai,TamilNadu,India,456009,4800912345,30005,2019-Dec-03,Yes
332713,Sukumar,99806,No-18 9thcrossst,GandhiNagar,Bangalore,Karnataka,India,456009,6800912345,30006,2019-Dec-03,Yes
332714,Ravikumar,99807,No-19 10thcrossst,NehruNagar,Bangalore,Karnataka,India,456009,5800912345,30007,2019-Dec-03,No
332715,Tejasree,99808,No-20 11thcrossst,PatelNagar,Bangalore,Karnataka,India,456009,2800912345,30008,2019-Dec-03,No
332716,Sreeharsha,99809,No-21 12thcrossst,AnnaNagar,Bangalore,Karnataka,India,456009,8800912345,30009,2019-Dec-03,Yes
332717,Venkatesh,89810,No-22 13thcrossst,SardarNagar,Ahmedabad,Gujarat,India,356010,8000912345,30010,2019-Dec-03,Yes
332718,Yaseen Shaik,99811,No-24 14thcrossst,SardarNagar,Bhubaneshwar,Odissa,India,256009,9000912999,20011,2019-Dec-03,Yes
